document,tag,content
YLE,Risks identification,"We constantly assess AI related risks, the decisions made by algorithms and if the applications fulfil their purpose. We further develop our AI solutions and our own operations based on continuous evaluation. We are vigilant in monitoring and correcting biases and openly share our observations. We expect our partners to also act responsibly."
ANP,Risks mitigation,"We publish texts, images, graphics or audio generated in any way by computer (or by AI) only with the permission of chiefs and chief editors."
CDJM France,Risks mitigation,The CDJM believes that publishers and journalists should strive … … to improve the queries (prompts) used in generative AI tools Chatbot-type interfaces have helped to popularise large language models (LLMs) and given rise to a host of new uses within newsrooms. But the quality and reliability of the texts produced depend largely on the formulations used by the user as instructions - the prompt.
Der Spiegel,Risks mitigation,We use testing mechanisms and approvals to ensure in particular that the so-called “hallucinations” of generative AI are not published.
DJV,Risks mitigation,Credibility is and remains the most important prerequisite for journalism; it can only be maintained if people bear the ultimate responsibility for the selection and presentation of content.
DPA,Risks mitigation,uses AI that is technically robust and secure to minimise the risks of error and misuse.
Financial Times,Risks mitigation,"We won’t publish photorealistic images generated by AI but we will explore the use of AI-augmented visuals (infographics, diagrams, photos) and when we do we will make that clear to the reader. This will not affect artists’ illustrations for the FT."
Impress,Risks mitigation,exercise editorial oversight to ensure the accuracy of any content produced by an AI system;
Mediafin,Risks mitigation,"We are also aware of the pitfalls and risks that this technology represents. This is why we have established a charter that frames our approach to AI, giving priority to transparency, human control and strict compliance with journalistic ethics."
Mediahuis,Risks mitigation,Watch out for biases in AI systems and work to address them.
Redaktørforeningens,Risks mitigation,"Artificial intelligence are language models, not independent sources, and are not capable of fact-checking themselves."
Roularta,Risks mitigation,"This technological development offers many opportunities and raises many ethical questions, particularly regarding its use in journalism. It therefore seems necessary to us to define as precisely as possible the framework within which these technologies must or must not be used within the Roularta Media Group editorial offices"
STT,Risks mitigation,"Due to errors, STT does not use AI for data mining. The sources used by AI are often obscure, making it problematic to use in editorial work"
YLE,Risks mitigation,We understand that artificial intelligence itself is not objective or neutral and that humans are always responsible.
YLE,Risks mitigation,"We constantly assess AI related risks, the decisions made by algorithms and if the applications fulfil their purpose. We further develop our AI solutions and our own operations based on continuous evaluation. We are vigilant in monitoring and correcting biases and openly share our observations. We expect our partners to also act responsibly."
BBC,Security,"Security & Robustness: We will use AI in a way that is secure, robust and safe."
DPA,Security,uses AI that is technically robust and secure
Mediafin,Security,"WE ALWAYS RESPECT PRIVACY, SECURITY AND COPYRIGHT"
Mediahuis,Security,Prioritize data privacy and security when using AI applications.
SVT,Security,"risks – in terms of editorial, legality, and security –"
SVT,Security,"For security reasons, we should not use our SR email addresses to create accounts in external AI services."
Swiss Press Council,Source,"The sources on which artificially generated content is based must be known, evaluated and mentioned to the same extent as for a “traditional” journalistic subject."
YLE,Sustainability,"We develop AI for the benefit of society, considering the environment."
AJP,Technology AI,"the use and development of AI in the journalistic sector must be dominated by the key values of journalistic ethics: truthfulness, accuracy, fairness, impartiality, independence, non-harm, non-discrimination, accountability, respect for privacy and confidentiality of sources."
ANP,Technology AI,artificial intelligence (‘AI’
BBC,Technology AI,using AI responsibly
CDJM France,Technology AI,Recent advances in artificial intelligence (AI)
Dagens Næringsliv,Technology AI,uses of artificial intelligence
DJV,Technology AI,"n addition, users should have the possibility to find out which data was collected and used for the generation and/or distribution by means of artificial intelligence."
DPA,Technology AI,use of AI
France Info,Technology AI,"So yes, we have been using software for several years. It is true that artificial intelligence has come to the forefront in recent months, but it is not new. It’s just that it’s a new artificial intelligence,"
Le Monde,Technology AI,"The use of generative AI is only authorized, under strictly regulated conditions, as a tool to assist editorial production"
Redaktørforeningens,Technology AI,Any fully automated services must be considered very carefully
Ringier,Technology AI,artificial intelligence (AI)
Roularta,Technology AI,"Artificial intelligence, already used in our titles as an automation tool (machine learning, recommendations, targeting, etc.), has recently reached a new level with the advent of generative artificial intelligence (GAI) models."
RVDJ,Technology AI,Artificial intelligence
SVT,Technology AI,AI and automation have been used for several years
YLE,Technology AI,artificial intelligence
AJP,Technology GAI,"the use and development of AI in the journalistic sector must be dominated by the key values of journalistic ethics: truthfulness, accuracy, fairness, impartiality, independence, non-harm, non-discrimination, accountability, respect for privacy and confidentiality of sources."
Dagens Næringsliv,Technology GAI,uses of artificial intelligence
DJV,Technology GAI,"n addition, users should have the possibility to find out which data was collected and used for the generation and/or distribution by means of artificial intelligence."
Financial Times,Technology GAI,the use of generative artificial intelligence
Heidi.news,Technology GAI,generative AI
Le Monde,Technology GAI,"The use of generative AI is only authorized, under strictly regulated conditions, as a tool to assist editorial production"
Redaktørforeningens,Technology GAI,Any fully automated services must be considered very carefully
Roularta,Technology GAI,"Artificial intelligence, already used in our titles as an automation tool (machine learning, recommendations, targeting, etc.), has recently reached a new level with the advent of generative artificial intelligence (GAI) models."
SVT,Technology GAI,The guidelines apply to the use of generative AI in the entire operation
Usbek & Rica,Technology GAI,not to publish any article or text generated by an artificial intelligence tool (even a news brief) without human supervision
VG,Technology GAI,all use of generative AI must be manually approved before publication.
AJP,Training,"If generative artificial intelligence can be a tool for journalists, its use must be mastered."
CDJM France,Training,"Editorial departments wishing to make use of these tools need to be trained in the correct use of prompts, and can regulate their use by developing internal rules in this area (prompt engineering). …"
CDJM France,Training,learn about new AI tools in order to assess their benefits and limitations Restoring reality for an audience also involves mastering the tools used to do so.
Dagbladet,Training,Learning more about how the tool can be utilised in an ethically responsible manner will be a great advantage.
DJV,Training,"The use of artificial intelligence must become an integral part of the training and further education of journalists. Media companies are called upon to create corresponding offers. In addition to the use of artificial intelligence and the resulting possibilities (e.g. when using it for research), the content of these training courses must also be to raise awareness of the misuse of artificial intelligence (e.g. for the creation of deepfakes) and to create possibilities for its discovery in everyday journalistic work."
Financial Times,Training,Training for our journalists on the use of generative AI for story discovery will be provided through a series of masterclasses
France Info,Training,a big professional training challenge.
Mediafin,Training,A CONSTANT CONCERN FOR TRAINING IN AI TOOLS
Mediafin,Training,"L’Écho organizes training for editorial staff. These training courses focus on ethical aspects, tools and the impact of AI on society as a whole."
Mediahuis,Training,Train and qualify those responsible for AI decisions.
Aftonbladet,Transparency disclosure,"In the rare cases where we publish AI-generated material, this will be clearly stated."
AJP,Transparency disclosure,"All editorial content generated by artificial intelligence must be identified as such, on all media through which this content is distributed."
AJP,Transparency disclosure,t must be clearly stated that these illustrations were produced by AI.
Blick,Transparency disclosure,Blick labels content created with AI tools. Labeling is not necessary if an AI tool is only used as an aid
CDJM France,Transparency disclosure,"To this end, it is important to make captions more explicit and credits more visible, by systematically indicating the place and date the photo was taken."
Dagbladet,Transparency disclosure,open and transparent about the use of AI. All AI-generated content must therefore be clearly labelled
Dagens Næringsliv,Transparency disclosure,illustrations must be clearly labeled with the source and relevant background information. They are labeled to avoid reuse.
De Volksrant,Transparency disclosure,"The exception to the above is when the purpose of a publication is to show how an AI system works. If, in the context of such a publication, something is ‘written’ or generated by artificial intelligence, the Volkskrant always explicitly mentions this, indicating where any errors are in the generated work. Such use of generative AI is done only with the permission of chiefs and chief editors."
Der Spiegel,Transparency disclosure,"SPIEGEL and manager magazin, rely on AI tools in production or use AI-generated images, each transparently declared,"
Der Spiegel,Transparency disclosure,"If artificial intelligence systems play a significant role in the preparation or presentation of textual content, we always declare this transparently and clearly for readers. The same applies to images that were created or significantly modified using artificial intelligence."
DJV,Transparency disclosure,Journalistic content created in whole or in part with the help of artificial intelligence must be labelled accordingly in the medium of publication
Financial Times,Transparency disclosure,"We will be transparent, within the FT and with our readers. All newsroom"
France Info,Transparency disclosure,"“Look, for certain articles, we used ChatGPT”, we could say to ourselves: we take the baccalaureate dissertation for example, and say there you go, what is ChatGPT would have written? That’s an example, but we’ll always mention it."
France Info,Transparency disclosure,"We must tell our listeners, Internet users, readers: this is what we use let us or not as artificial intelligence software, to mention it, to make it known."
Groupe Les Echos-Le Parisien,Transparency disclosure,"In this case, we will explicitly mention the origin of the content."
Groupe Les Echos-Le Parisien,Transparency disclosure,"As for the texts, we will make an exception if visuals generated by the AGI are used to illustrate: articles on the AI, or if the creative process of the illustrator uses AGI. In any case, we will make sure to specify its origin explicitly for the reader."
Heidi.news,Transparency disclosure,All published synthetic images will be visibly marked to indicate their origin.
Impress,Transparency disclosure,Publishers should prominently label content that has been recommended to people by automated systems based on their individual behaviour and data and provide
Le Figaro,Transparency disclosure,"Transparency is at the heart of this charter. We must not sow doubt, it is a moral contract with our readers,”"
Mediafin,Transparency disclosure,"Every time we use AI in the journalistic creative process, we make it clear. Not only for texts or summaries of journalistic stories, but also for the production of podcasts, videos, illustrations or other graphic elements."
Mediahuis,Transparency disclosure,Transparency above all • Always state when AI is used to create or modify content. • Publish AI guidelines and be transparent about how we use AI. • Encourage readers to give feedback and let them review their data.
Nordic Journalism Network,Transparency disclosure,"We believe that """"AI with a significant journalistic impact must be handled with openness and clarity towards the audience"""" is an appropriate such fundamental principle."
Nordic Journalism Network,Transparency disclosure,"An editorial team uses AI to generate an article text and believes that this has a significant journalistic impact as AI has made language and information selection. Therefore, the editorial team should inform users that AI has been used."
Redaktørforeningens,Transparency disclosure,Content generated by AI should be clearly labelled and understandable to the audience
Redaktørforeningens,Transparency disclosure,Be conscious of how such services appear to the audience - e.g. whether the voice should belong to or resemble a real human voice or be clearly generated.
Ringier,Transparency disclosure,"As a general rule, content generated by AI tools shall be labeled. Labeling is not required in cases where an AI tool is used only as an aid."
Roularta,Transparency disclosure,"AI-generated images are used to illustrate some of our articles. These are only illustrations easily identifiable as such, and not photographs. In all cases, we will ensure that the provenance is explicitly indicated to the reader."
RTS,Transparency disclosure,Transparency
RVDJ,Transparency disclosure,Editors communicate transparently about automated news production and personalisation of news offerings so that it is clear to users when news items have been created or selected based on artificial intelligence.
SVT,Transparency disclosure,"For example, it should be clearly indicated if an image is AI-edited in all contexts where it is displayed."
Swiss Press Council,Transparency disclosure,Content created using an artificial intelligence program must be marked as such.
Usbek & Rica,Transparency disclosure,"We do, however, reserve the right to quote a few lines generated by such a tool as part, for example, of an article on the performance of artificial intelligence in writing (provided that such an article is written and edited by a Usbek & Rica journalist)."
Usbek & Rica,Transparency disclosure,to always credit the artificial intelligence tools used to produce an image or text as fully and transparently as possible
VG,Transparency disclosure,"journalists shall relate to the use of text, video, images, sound and other content created using AI (generative AI) in the same way as other sources of information"
AJP,Transparency general,"internal recommendations must be public, detailed and consultable via various channels and understandable to the general public"
ANP,Transparency general,"we strive for transparency, in that line we state the extent of Al use where we as editors deem it appropriate. Naturally, we are always available to customers for questions or explanations."
BBC,Transparency general,Transparency & Clear Explanations:
CDJM France,Transparency general,The data sources must be mentioned; the names of the tools used and any queries used (prompts) may also be indicated.
De Volksrant,Transparency general,completely transparent about how information has been gathered and which sources underlie it.
De Volksrant,Transparency general,Journalistic work generated by AI systems does not offer this transparency.
Der Spiegel,Transparency general,"The principles of transparency and openness, coupled with an awareness of the responsibility associated with the use of artificial intelligence and mutual learning, also apply to collaboration between major tech platforms and media across the digital ecosystem."
Der Spiegel,Transparency general,to create trust in artificial intelligence as well as enable its further development through transparency and feedback options.
DPA,Transparency general,"Where content is generated exclusively by AI, we make this transparent and explainable."
Financial Times,Transparency general,transparency
France Info,Transparency general,great transparency on its use
Impress,Transparency general,"When using AI to generate, publish and disseminate news, publishers must exercise editorial oversight to ensure that their use of it is transparent."
Keystone - ATS,Transparency general,requirements quality and obligation of identification
Mediafin,Transparency general,"guaranteeing transparency, human intervention and responsibility in their journalistic practice."
Mediafin,Transparency general,"Every time we use AI in the journalistic creative process, we make it clear. Not only for texts or summaries of journalistic stories, but also for the production of podcasts, videos, illustrations or other graphic elements."
Mediafin,Transparency general,"This approach does not apply to routine tasks that have no impact on the journalistic creation process, such as translation and transcription."
Mediahuis,Transparency general,Transparency above all • Always state when AI is used to create or modify content. • Publish AI guidelines and be transparent about how we use AI. • Encourage readers to give feedback and let them review their data.
Nordic Journalism Network,Transparency general,the use of AI requires transparency
Nordic Journalism Network,Transparency general,"AI transparency must be approached as an iterative theme Many of the AI technologies now used in the media industry are at an early stage, during which it is necessary to be open and clear about their usage. This openness will need to be reassessed over time as technology and user habits and expectations evolve."
Nordic Journalism Network,Transparency general,"We advise against standardised visual labeling (e.g., an icon) for AI in editorial media. We are motivated by three main arguments:"
SVT,Transparency general,"transparent about our use of AI and, for example, respond to questions from the audience."
Swiss Press Council,Transparency general,Newsrooms must explicitly state where and how they use AI tools.
YLE,Transparency general,"Our use of AI is open, transparent and supports independent choices"
CDJM France,Transparency methods,This transparency gives the public a better understanding of the conditions under which the content they see is produced. It also establishes a necessary distinction between what is the fruit of the labour of real people and what is the product of a series of algorithms.
De Volksrant,Transparency methods,completely transparent about how information has been gathered and which sources underlie it.
DJV,Transparency methods,Users shall be informed in an appropriate manner and in a suitable place which technologies are used in the automated generation and distribution of journalistic content and to what extent
Mediafin,Transparency methods,"Every time we use AI in the journalistic creative process, we make it clear. Not only for texts or summaries of journalistic stories, but also for the production of podcasts, videos, illustrations or other graphic elements."
Mediahuis,Transparency methods,Transparency above all • Always state when AI is used to create or modify content. • Publish AI guidelines and be transparent about how we use AI. • Encourage readers to give feedback and let them review their data.
Nordic Journalism Network,Transparency methods,"However, we see a relevant exception in method descriptions of editorial work, especially investigative journalism, where AI has a major journalsitic impact."
Nordic Journalism Network,Transparency methods,"As the model in question is a crucial component in the publication, the team shares information about the specific model they have used, and explains how method choices such as prompts and temperature may have influenced the investigation."
Redaktørforeningens,Transparency methods,Be transparent about the work process where AI is involved
BBC,Trust,upholding trust
Der Spiegel,Trust,"At the same time, we are committed to our journalistic standards and principles, because the trust of our readers in the SPIEGEL brand is our most important asset."
Der Spiegel,Trust,to create trust in artificial intelligence as well as enable its further development through transparency and feedback options.
Financial Times,Trust,the trust of readers in the quality journalism we produce
Keystone - ATS,Trust,confidence in technology.
Mediafin,Trust,"The trust of our readers is our most precious asset,"
Mediahuis,Trust,rust is key • Remain trusted sources by verifying facts and avoiding harmful AI-generated content
Roularta,Trust,"Faithful to the relationship of trust that binds us to our readers, we have chosen to publish these principles."
RTS,Trust,The role of the public service and the trust it must maintain in a context of dilution of reality is more important than ever
Aftonbladet,Use case,"Aftonbladet’s journalists can use AI technology in their work to produce material. This can, for example, involve doing research, predicting ideas or giving suggestions for headlines."
AJP,Use case,"More generally, the AJP notes that several editorial staff have already positioned themselves on the good and bad uses of AI and therefore do not put all technological tools on the same footing, thus differentiating AI producing from AI content as an aid to journalists. Among the ���good��� uses listed by several international media: translation of texts, production of short texts for social networks, suggestion of titles, search for subjects and themes, improvement of Google referencing, suggestion of article plans or titles , generation of interview questions, summary of old reports, creation of infographics or data visualization. Among the ���bad��� ones, which some media have also banned: texts and images generated by AI and the reproduction of voices."
ANP,Use case,"so-called ‘generative AI’, ‘templating’ or ‘text-to-speech’ and ‘speech-to-text’."
ANP,Use case,"can be inspired by the computer (or by AI) for headlines, backgrounds, story ideas or sources to be accessed, for example. Also - for example - recorded texts can be written out automatically and other support services applied. The number of assistance options is bound to increase further. It is up to editors whether it is relevant and useful whether AI applications are used in editorial or journalistic productions. Simply put: AI is, as it looks, a tool and not a substitute."
Blick,Use case,"for example, for translation, converting audio to text, or proofreading"
CDJM France,Use case,automated translation of articles published in a foreign language - advanced voice synthesis (text to speech) for automatic oral reading of texts - automated updating of content based on new data available available data - classification of articles by keywords - summaries of articles or audiovisual elements - generation of simplified French versions - factual summaries of election results - technical reports of sporting events
Dagens Næringsliv,Use case,improving the journalistic workflow and presenting our journalism in the best possible way
Dagens Næringsliv,Use case,"Examples of use are; proofreading, translation, transcribing, title suggestions, summarizing, idea development and metadata generation."
Dagens Næringsliv,Use case,"DN collaborates with Amedia on the development of language models for news written in Norwegian. This is currently used to recommend relevant articles in the stock exchange service Investor, in our wine search and at the bottom of articles. Algorithms contribute to the placement of content on certain floors on DN.no. This means that the content may look different to different visitors."
De Volksrant,Use case,"That said, artificial intelligence can serve as a tool for final editing, research and as a tool. For example, to transcribe audio recordings of an interview, to have texts translated or to have stories narrated by synthetic voices so that readers can listen to them."
France Info,Use case,"For example, we use software called Trint for automatic audio transcription"
France Info,Use case,"We use software called Data Miner, which allows us to detect information and events occurring through social networks, notably Twitter"
France Info,Use case,"So it detects, let’s say, an explosion somewhere, a fire. And that allows our journalist to be alerted. It doesn’t do the work for them at all. In fact, once again, it’s alert, and then, we have a partnership with a laboratory called Inria, on our true and false cell, for verifying information. It’s a tool developed for us by them, called State Check, which helps us with fact-checking. This means that it will detect, among tweets from politicians or personalities, quantitative elements of figures on which we will then be able to work."
Heidi.news,Use case,"Artificial intelligence can assist journalists in refining raw data in the same way as software such as Excel, and as an aid to writing articles, like online thesauruses or automatic spellcheckers."
Keystone - ATS,Use case,Examples of indication concerning content produced by Keystone-ATS Dispatch on the filling level of gas reservoirs/dam lakes: this dispatch was automatically generated on the basis of data from the Federal Office of Energy (SFOE) and the Gas Infrastructure Europe federation (GIE) and reread before distribution. Ice hockey – match results telegrams (identical to telegrams for handball): The telegrams are automatically generated with data provided by the Swiss Ice Hockey Federation and reread before broadcast. Results of the Swiss Loto and EuroMillions draws: this dispatch was produced with the support of Loterie Romande. It was automatically generated and proofread before broadcast. Covid-19 statistics: this dispatch was automatically generated based on FOPH data and reread before broadcast. Infographics (Lena): this infographic was produced automatically by the writing robot Lena. Images: (in the “Special Instructions” field) “Artificial intelligence used” or “AI used” or “Artificial Intelligence applied” or “AI applied”.
Le Figaro,Use case,"Journalists will be able to use this technology in their preparatory work (synthesis of documents and databases, assistance with translation, etc.), before writing their articles. It can also help with layout or spelling correction, and can speed up the process of subtitling videos, or even their translation into other languages. But the group undertakes not to automate these processes."
Le Monde,Use case,"several dozen articles produced by the editorial staff and translated into English. Each of these articles is subject to translation in three stages: the first “layer” of translation is carried out by the DeepL automatic translation software, the second by a professional translator (human!), the third by a English-speaking journalist."
Le Monde,Use case,"This project would not have been possible without the improvement in the performance of translation software: the cost in working hours of a 100% human translation would have been dissuasive in view of the expected income. It is the progress of AI that has made it possible to believe that it could find its economic balance within a reasonable time. Ultimately, several jobs for English-speaking journalists were created within the editorial staff of Le Monde, so AI is not necessarily synonymous with job destruction."
Le Monde,Use case,Another example of an additional service offered by Le Monde to its readers thanks to the controlled use of AI: the provision of an audio version of the articles.
Le Monde,Use case,"Finally, AI helps the team that moderates comments from Le Monde subscribers to identify messages that do not respect our contribution charter. Here again, nothing can replace a human eye and a human brain to thwart the treasures of ingenuity that some people demonstrate in flirting with the limits defined by the rules set."""
Mediafin,Use case,"We can use algorithms to optimize the digital distribution of our journalistic production, whether in newsletters, positions on the site or in the L'Écho application. We also make personalized content recommendations, for example in the “Selected for you” section and the “L’Écho Dimanche” newsletter. These algorithms are continuously tested and evaluated."
Mediafin,Use case,"We can use it, for example, to translate a working document or carry out research in a mass of documents in order to have more time to analyze them in depth and identify the most relevant trends. Before validating and using AI tools, we carefully test and evaluate them."
Nordic Journalism Network,Use case,Examples where AI can be used without actively sharing information with the audience: Transcribing for internal use does not affect the content or credibility of the published material. The focus should be on the finished result of the transcription rather than on the method used to achieve it.
Nordic Journalism Network,Use case,"Proof-reading software is a common feature that does not affect the substance or authenticity of the journalism. The goal is to deliver correctly spelled texts to the audience, not which tools are used to achieve it."
Nordic Journalism Network,Use case,"SEO work is part of the editorial and commercial process to make content more visible and accessible to a wider audience. It is the result of SEO strategies that are of interest to the audience, rather than the technical methods used to implement them."
Roularta,Use case,"Artificial intelligence, already used in our titles as an automation tool (machine learning, recommendations, targeting, etc.), has recently reached a new level with the advent of generative artificial intelligence (GAI) models."
Roularta,Use case,"We also reserve the right to use AI as an enrichment, research or synthesis tool to help and fuel the work of journalists. Journalists can use these tools as a search engine, for example, but must always return to their own sources to guarantee the origin of their information."
Roularta,Use case,"as with texts, we can use AI as a tool to summarize videos, in particular to facilitate their distribution on different platforms."
RTS,Use case,"AI must be understood as a tool that does not replace but supports creativity, analysis, perspective or again for example investigation."
STT,Use case,"For example, you can ask ChatGPT for ideas and suggestions for interesting angles and headlines, or try its ability to version stories."
SVT,Use case,"podcast recommendations and news curation, among other things."
